probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.2639834],4,3,10,13,[5.991666],516
[0.5034137],8,4,8,14,[5.1040335],517
[0.42756298],1,4,13,1,[5.1791515],518
[0.34582263],4,4,12,19,[5.9730015],519
[0.3471247],1,1,16,11,[5.999279],520
[0.36106464],1,1,16,11,[5.999848],521
[0.39251316],8,4,10,18,[5.989218],522
[0.28575808],1,8,10,1,[5.1084785],523
[0.36540976],8,1,2,17,[5.971222],524
[0.30300137],4,1,6,4,[5.3268433],525
[0.46993512],4,5,14,2,[5.997283],526
[0.5451561],1,8,18,1,[5.1240964],527
[0.30158457],4,1,6,4,[5.2872343],528
[0.2551955],5,8,10,15,[5.983588],529
[0.56041163],4,5,14,9,[6.000369],530
[0.44159076],4,4,10,9,[5.985257],531
[0.6837827],4,1,4,11,[5.3039627],532
[0.3593285],4,4,17,19,[5.957079],533
[0.45270982],4,8,18,13,[5.9976816],534
[0.5403315],4,4,19,4,[5.151595],535
[0.45963514],4,4,14,6,[6.007597],536
[0.54310757],4,4,9,12,[5.97517],537
[0.60622424],8,4,8,14,[5.132299],538
[0.32129025],8,4,12,17,[5.9457026],539
[0.43188608],1,1,7,9,[5.9902916],540
[0.6121758],8,3,3,18,[5.3940783],541
[0.30229172],4,4,14,12,[5.9854836],542
[0.5175377],1,4,6,1,[5.149575],543
[0.40021852],1,4,1,15,[5.117757],544
[0.37858933],4,4,4,15,[5.1439457],545
[0.249382],4,4,16,2,[5.9875145],546
[0.30816117],4,4,2,6,[5.9887385],547
[0.4097491],3,1,7,3,[5.28477],548
[0.5981617],3,4,3,14,[5.4206457],549
[0.46135065],5,8,5,18,[5.1077375],550
[0.47214714],8,3,12,18,[5.9775467],551
[0.2852433],1,4,11,6,[5.9787984],552
[0.38665625],4,4,4,19,[5.125489],553
[0.4819335],4,5,17,14,[5.9609456],554
[0.407918],8,3,18,6,[5.987722],555
[0.9160211],3,1,3,1,[4.625132],556
[0.91121197],3,5,3,5,[4.636427],557
[0.8432238],8,4,8,4,[4.306659],558
[0.3383747],4,1,11,14,[5.9788303],559
[0.37681565],4,3,4,18,[5.22097],560
[0.765369],3,1,12,1,[5.2466173],561
[0.5946183],8,3,8,19,[5.096208],562
[0.8625514],4,3,4,12,[5.489315],563
[0.5718795],3,3,7,13,[6.019971],564
[0.7011684],1,3,11,7,[6.001571],565
[0.73934567],5,3,16,5,[5.420084],566
[0.6661489],3,3,2,7,[6.011755],567
[0.40262473],3,3,15,10,[5.990856],568
[0.32794547],1,8,18,1,[5.176427],569
[0.32143164],3,3,12,15,[5.9929132],570
[0.5645011],4,5,19,14,[6.0111876],571
[0.905377],8,1,1,8,[4.321801],572
[0.5146449],3,4,19,3,[5.134693],573
[0.33338472],1,4,11,15,[5.9855027],574
[0.38350064],4,4,19,17,[5.9645057],575
[0.31997],1,4,11,15,[5.9856615],576
[0.43389475],4,3,13,18,[6.000682],577
[0.62649006],1,4,19,11,[5.994161],578
[0.526204],1,3,1,12,[5.209159],579
[0.3801938],4,8,18,13,[5.999791],580
[0.40253103],4,8,18,13,[5.999535],581
[0.411874],4,4,6,10,[5.9889226],582
[0.31629726],5,8,2,5,[5.0866117],583
[0.46736363],3,5,3,14,[5.2180233],584
[0.3315411],1,1,19,16,[5.9930973],585
[0.31707382],3,8,3,2,[5.2045126],586
[0.50134665],8,4,13,8,[5.0654607],587
[0.35076252],4,4,2,9,[5.9883003],588
[0.379284],4,5,14,12,[5.9748654],589
