probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.12761897],3,3,13,6,[5.9530754],457
[0.12670557],3,3,1,3,[5.8576674],458
[0.12737583],3,3,15,17,[5.91501],459
[0.12840618],3,3,10,1,[5.8784533],460
[0.1279849],3,3,15,18,[5.9665165],461
[0.12879428],3,3,3,16,[5.8178444],462
[0.13075611],3,3,11,7,[5.805787],463
[0.13203502],3,3,9,3,[5.7984962],464
[0.13530768],3,3,18,1,[5.9794207],465
[0.1382532],3,3,2,18,[5.956546],466
[0.14171302],3,3,6,14,[5.9433074],467
[0.14427747],3,3,6,13,[5.9493494],468
[0.14585696],3,3,12,17,[5.887593],469
[0.14783752],3,3,16,4,[5.9108343],470
[0.14902553],3,3,1,3,[5.8338757],471
[0.15248442],3,3,7,11,[5.804207],472
[0.1551143],3,3,4,5,[5.932502],473
[0.1574852],3,3,4,15,[5.9332905],474
[0.1585569],3,3,12,8,[5.860977],475
[0.15981467],3,3,9,17,[5.880848],476
[0.16074167],3,3,6,5,[5.9381757],477
[0.16139372],3,3,7,1,[5.8769712],478
[0.16060449],3,3,9,16,[5.881285],479
[0.15988709],3,3,6,17,[5.910228],480
[0.15924022],3,3,3,15,[5.808497],481
[0.16068028],3,3,19,14,[5.9496374],482
[0.16183212],3,3,15,18,[5.9621186],483
[0.16288497],3,3,8,15,[5.8890247],484
[0.16407351],3,3,11,14,[5.885479],485
[0.16438395],3,3,6,13,[5.942997],486
[0.16401176],3,3,14,2,[5.939774],487
[0.1636602],3,3,5,6,[5.9318714],488
[0.1629441],3,3,6,17,[5.900375],489
[0.16213498],3,3,4,5,[5.925302],490
[0.16074167],3,3,10,12,[5.8723],491
[0.15938453],3,3,15,13,[5.9417663],492
[0.1567616],3,3,8,10,[5.844488],493
[0.15509291],3,3,19,14,[5.946336],494
[0.15266837],3,3,18,6,[5.944928],495
[0.15105891],3,3,16,5,[5.913236],496
[0.14835815],3,3,8,16,[5.8632298],497
[0.14606822],3,3,1,8,[5.900056],498
[0.1442071],3,3,12,7,[5.8460684],499
[0.14131474],3,3,5,6,[5.9109387],500
[0.13807392],3,3,10,18,[5.9127073],501
[0.13554494],3,3,11,18,[5.908286],502
[0.1338329],3,3,16,13,[5.9210405],503
[0.1308725],3,3,6,17,[5.8779335],504
[0.12857404],3,3,14,11,[5.8835845],505
[0.12529458],3,3,12,8,[5.8502064],506
[0.12307666],3,3,17,2,[5.904258],507
[0.12088749],3,3,5,7,[5.8640203],508
[0.11849929],3,3,13,11,[5.892297],509
[0.1156683],3,3,9,11,[5.8559017],510
[0.11385032],3,3,6,7,[5.8348017],511
[0.1104821],3,3,8,10,[5.819519],512
[0.10863359],3,3,16,19,[5.917816],513
[0.10636573],3,3,12,15,[5.907648],514
[0.10412706],3,3,6,2,[5.896347],515
[0.10185067],3,3,2,15,[5.9325385],516
[0.10192108],8,8,6,13,[5.8995724],517
[0.10243012],8,8,19,14,[5.9463544],518
[0.1026381],8,8,5,9,[5.9043684],519
[0.10222514],8,8,7,14,[5.8674984],520
[0.10177219],8,8,19,3,[5.8829436],521
[0.10124912],8,8,12,7,[5.842038],522
[0.10204477],7,7,16,11,[5.844395],523
[0.104199],7,7,9,14,[5.91094],524
[0.10615769],7,7,4,3,[5.874442],525
[0.10765059],7,7,16,4,[5.9071774],526
[0.10852913],7,7,2,13,[5.945838],527
[0.10957792],7,7,1,10,[5.9175873],528
[0.11017934],7,7,19,14,[5.9408655],529
[0.11062519],7,7,1,14,[5.950699],530
[0.11078005],7,7,11,7,[5.7888203],531
[0.11278984],7,7,9,12,[5.8871136],532
[0.11487453],7,7,10,15,[5.8928213],533
[0.11618134],7,7,1,4,[5.9556527],534
[0.11733346],7,7,5,6,[5.8764734],535
[0.11769168],7,7,15,9,[5.9054937],536
[0.11768737],7,7,9,2,[5.909926],537
[0.11788604],7,7,9,1,[5.927674],538
[0.1177237],7,7,10,2,[5.894018],539
[0.11742958],7,7,7,11,[5.7797527],540
[0.11932679],7,7,16,14,[5.8923635],541
[0.12031279],7,7,11,19,[5.875972],542
[0.12098253],7,7,17,12,[5.896817],543
[0.12162378],7,7,3,14,[5.863781],544
[0.12146525],7,7,2,10,[5.8890543],545
[0.12119423],7,7,11,15,[5.853874],546
[0.12030333],7,7,10,12,[5.8628216],547
[0.11933374],7,7,10,4,[5.885335],548
[0.11791997],7,7,1,10,[5.9000416],549
[0.11638769],7,7,3,16,[5.8500013],550
[0.11443228],7,7,7,2,[5.848713],551
[0.11495584],7,7,12,10,[5.840741],552
[0.11511567],7,7,15,9,[5.8936014],553
[0.11474027],7,7,12,17,[5.898371],554
[0.11457909],10,10,17,12,[5.8974857],555
[0.11923423],10,10,18,5,[5.9628725],556
[0.12228537],10,10,7,1,[5.8709383],557
[0.12562996],10,10,14,9,[5.885166],558
[0.12804584],10,10,8,19,[5.9141817],559
[0.12892354],10,10,16,14,[5.8934417],560
[0.13061923],10,10,4,18,[5.9641776],561
[0.12999614],10,10,16,3,[5.8555303],562
[0.13073285],10,10,13,5,[5.9531837],563
[0.13144548],10,10,5,8,[5.905978],564
[0.12988734],10,10,13,10,[5.8499317],565
[0.13301377],10,10,13,7,[5.8627234],566
[0.135878],10,10,15,17,[5.9173923],567
[0.13713613],10,10,5,13,[5.95098],568
[0.1387137],10,10,5,10,[5.82646],569
[0.14359038],10,10,2,13,[5.948995],570
[0.14828059],10,10,11,4,[5.875767],571
[0.15141305],10,10,2,13,[5.9482565],572
[0.15334558],10,10,3,1,[5.904154],573
[0.1560369],10,10,16,1,[5.926323],574
[0.1579494],10,10,4,5,[5.934512],575
[0.15823933],10,10,13,5,[5.941981],576
[0.15920052],10,10,4,2,[5.935831],577
[0.15946265],10,10,14,18,[5.944537],578
[0.15809561],10,10,13,17,[5.9328585],579
[0.15725717],10,10,7,15,[5.8466988],580
[0.15555434],10,10,10,1,[5.827781],581
[0.15826781],10,10,13,7,[5.8577204],582
[0.15967153],10,10,6,3,[5.879715],583
[0.16200814],10,10,17,1,[5.9409165],584
[0.16332324],10,10,18,2,[5.958502],585
[0.16248712],10,10,16,2,[5.9029245],586
[0.16079508],10,10,1,3,[5.900835],587
[0.16065003],10,10,14,12,[5.8946056],588
